state_clean,estimated_ev_count,annual_ev_growth_rate
ACT,9955,53.93536415648678
New South Wales,74575,49.84528210898569
Northern Territory,787,69.61206896551724
Queensland,53245,54.35570372517756
South Australia,12909,69.3205666316894
Tasmania,4422,40.872889455240525
Victoria,66880,60.97819284648342
Western Australia,26127,65.35029428517183
